Franklin India Banking & PSU Debt Fund - Growth	19.5906
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	10.9998
Franklin India Banking and PSU Debt Fund - IDCW 	10.4560
	
	
	
HDFC Banking and PSU Debt Fund - Growth Option	20.0602
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	20.7421
HDFC Banking and PSU Debt Fund - IDCW Option	10.1501
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0405
	
	
	
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1842
HSBC Banking and PSU Debt Fund - Direct Growth	22.2282
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.2850
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3578
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1095
HSBC Banking and PSU Debt Fund - Regular Growth	21.2467
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.7207
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3304
	
	
	
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	29.5884
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.5796
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	28.5548
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.6663
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
	
	
	
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment)	1010.3768
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option	2094.9698
